txn_id,customer_id,txn_date,amount,currency,status,region,channel,product_type,reference_no
TXN-81F714DF,CUST-925206,2026-05-21,10268.23,AED,PENDING,EMEA,BRANCH,BILL_PAY,REF-29804386
TXN-72290EA3,CUST-478411,2026-07-10,15120.36,AED,PENDING,NA,ONLINE,LOAN_PAYMENT,REF-84270583
TXN-79B92FCA,CUST-926952,2026-05-17,151.75,EUR,PENDING,NA,BRANCH,LOAN_PAYMENT,REF-98725654
TXN-24A71B33,CUST-735324,2026-05-16,48187.1,USD,PENDING,NA,ONLINE,DEPOSIT,REF-13446499
TXN-95B03B43,CUST-852470,2026-06-19,10187.83,GBP,REVERSED,NA,ONLINE,LOAN_PAYMENT,REF-95132217
TXN-8FCB0C25,CUST-501124,2026-07-28,42931.08,EUR,PENDING,LATAM,ATM,BILL_PAY,REF-40547349
TXN-D6D4B0CB,CUST-260053,2026-05-06,46150.02,USD,COMPLETED,APAC,ONLINE,FX_CONVERSION,REF-22960658
TXN-0364AF2F,CUST-948749,2026-08-01,37942.78,EUR,REVERSED,NA,ATM,WIRE_TRANSFER,REF-38898923
TXN-7F236A19,CUST-127824,2026-05-22,9949.89,AED,REVERSED,EMEA,MOBILE,DEPOSIT,REF-47338124
TXN-E90C1665,CUST-406327,2026-05-04,47205.04,INR,COMPLETED,APAC,ATM,FX_CONVERSION,REF-74251933
TXN-9788D3A4,CUST-888539,2026-06-09,12621.05,USD,REVERSED,APAC,ONLINE,BILL_PAY,REF-40094589
TXN-5F928C4F,CUST-281043,2026-06-06,49863.15,GBP,FAILED,APAC,ATM,BILL_PAY,REF-31139996
TXN-496662D6,CUST-842225,2026-05-13,2953.1,USD,COMPLETED,NA,ONLINE,DEPOSIT,REF-41944441
TXN-BCBF935A,CUST-446337,2026-06-02,5036.24,EUR,COMPLETED,EMEA,MOBILE,FX_CONVERSION,REF-74082055
TXN-073A32B0,CUST-633469,2026-07-04,6076.91,EUR,PENDING,EMEA,MOBILE,LOAN_PAYMENT,REF-58438711
TXN-59D5BB42,CUST-423401,2026-07-27,11033.72,AED,COMPLETED,APAC,BRANCH,BILL_PAY,REF-38351344
TXN-09AB4608,CUST-820775,2026-07-03,46196.31,AED,PENDING,LATAM,ONLINE,DEPOSIT,REF-40173413
TXN-CF0F8A70,CUST-207798,2026-07-14,12805.85,EUR,PENDING,APAC,BRANCH,FX_CONVERSION,REF-72270726
TXN-9CBB0A19,CUST-880758,2026-06-15,40590.35,AED,COMPLETED,NA,ONLINE,FX_CONVERSION,REF-57459130
TXN-6B1CDE57,CUST-621841,2026-05-19,7164.45,INR,FAILED,LATAM,ATM,LOAN_PAYMENT,REF-72445234
TXN-0397E69E,CUST-191161,2026-05-18,21101.87,USD,COMPLETED,EMEA,BRANCH,DEPOSIT,REF-90801586
TXN-852FCE89,CUST-811332,2026-06-13,14214.51,AED,PENDING,NA,ONLINE,DEPOSIT,REF-99068509
TXN-D754569A,CUST-218959,2026-07-29,36786.39,INR,REVERSED,APAC,ATM,BILL_PAY,REF-69897763
TXN-D51158D7,CUST-483542,2026-07-21,39536.19,USD,FAILED,APAC,MOBILE,BILL_PAY,REF-45186708
TXN-AB42DAEF,CUST-440131,2026-07-25,14675.46,GBP,REVERSED,EMEA,BRANCH,DEPOSIT,REF-65304649
TXN-43688A5A,CUST-465746,2026-05-22,46685.68,GBP,FAILED,APAC,MOBILE,FX_CONVERSION,REF-56323191
TXN-1E84B802,CUST-128276,2026-06-12,29598.72,USD,COMPLETED,LATAM,BRANCH,FX_CONVERSION,REF-34391257
